TRADING_CODE,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
1JANATAMF,2026-08-11,4,4.1,3.9,4,1846247
1STPRIMFMF,2026-08-11,25,25.4,24.7,24.9,603796
AAMRANET,2026-08-11,21.4,21.4,20.8,20.9,290036
AAMRATECH,2026-08-11,22.4,23.4,21.7,22.1,375647
ABB1STMF,2026-08-11,4.1,4.2,4,4,3292691
ABBANK,2026-08-11,4.9,5,4.8,5,528930
ABBLPBOND,2026-08-11,0,0,0,0,0
ACFL,2026-08-11,23.6,24.2,22.1,23.9,117979
ACI,2026-08-11,200.3,203,199.5,200.2,40442
ACIFORMULA,2026-08-11,171.9,180.2,171.9,177.3,626443
ACMELAB,2026-08-11,83,83.7,82.7,83.5,237546
ACMEPL,2026-08-11,24.9,25.5,24.7,24.8,2473728
ACTIVEFINE,2026-08-11,6.8,6.9,6.7,6.7,597134
ADNTEL,2026-08-11,66.3,67.5,66.3,67.3,110990
ADVENT,2026-08-11,16,16.4,15.9,16.3,314962
AFCAGRO,2026-08-11,7.2,7.4,7.1,7.2,137727
AFTABAUTO,2026-08-11,30.6,30.8,30.3,30.4,154698
AGNISYSL,2026-08-11,31.8,32.6,31.6,32.2,893408
AGRANINS,2026-08-11,32.7,33.1,32,32.1,726536
AIBL1STIMF,2026-08-11,6.6,6.8,6.4,6.5,3123329
AIBLPBOND,2026-08-11,3950,3950,3950,3950,1
AIL,2026-08-11,37.2,38,37.1,37.8,153589
AL-HAJTEX,2026-08-11,97.7,99.2,97.7,98.3,121397
ALARABANK,2026-08-11,16,16.4,16,16.1,21187
ALIF,2026-08-11,5.6,5.7,5.5,5.6,744352
ALLTEX,2026-08-11,23.2,23.6,22.9,23.3,404885
AMANFEED,2026-08-11,38.9,38.9,38.1,38.2,1016253
AMBEEPHA,2026-08-11,790.1,805,790,796.1,416
AMCL(PRAN),2026-08-11,233,233,228.6,230.9,7934
ANLIMAYARN,2026-08-11,35.4,35.4,34.8,34.9,9792
ANWARGALV,2026-08-11,113,115.4,112.5,115.1,512489
AOL,2026-08-11,18.7,18.9,18.7,18.8,552034
APEXFOODS,2026-08-11,294.1,301.3,291,296,75277
APEXFOOT,2026-08-11,217.3,219,216.6,217.2,48109
APEXSPINN,2026-08-11,354,355,349.2,350.7,22564
APEXTANRY,2026-08-11,106,107.5,104.5,105.2,65035
APOLOISPAT,2026-08-11,3.3,3.4,3.2,3.4,1276682
APSCLBOND,2026-08-11,0,0,0,0,0
ARAMIT,2026-08-11,202.3,208.9,202.3,205,13679
ARAMITCEM,2026-08-11,13.4,13.5,13.1,13.3,70670
ARGONDENIM,2026-08-11,23.3,24.3,23.3,23.8,2789455
ASIAINS,2026-08-11,45.7,46.2,44.5,44.7,603028
ASIAPACINS,2026-08-11,54.4,55.3,52.7,52.9,827875
ASIATICLAB,2026-08-11,113,116.6,112.8,116.2,544819
ATLASBANG,2026-08-11,93,94.5,92.8,93.2,11041
AZIZPIPES,2026-08-11,83.8,83.9,80.6,81.8,37288
BANGAS,2026-08-11,137.2,139,136.4,138.7,69343
BANKASI1PB,2026-08-11,0,0,0,0,0
BANKASIA,2026-08-11,18,18.1,17.8,18,1557504
BARKAPOWER,2026-08-11,9.7,10.6,9.7,10.5,3460662
BATASHOE,2026-08-11,914.8,914.8,905.2,912.7,554
BATBC,2026-08-11,240.6,248.2,240.6,247.7,261542
BAYLEASING,2026-08-11,5.1,5.4,4.6,5.3,622127
BBS,2026-08-11,15.4,15.5,15.3,15.5,1031501
BBSCABLES,2026-08-11,22.6,22.8,22.5,22.6,1024994
BDAUTOCA,2026-08-11,211,219.9,211,219.1,117904
BDCOM,2026-08-11,32.5,33,32.5,32.8,627187
BDFINANCE,2026-08-11,13.6,14.2,13.5,14,818312
BDLAMPS,2026-08-11,196.9,211.8,196.1,208.5,296345
BDSERVICE,2026-08-11,0,0,0,0,0
BDTHAI,2026-08-11,18.5,18.6,18.3,18.4,1311396
BDTHAIFOOD,2026-08-11,24.8,25.5,24.5,25.1,3140492
BDWELDING,2026-08-11,13.7,13.9,13.7,13.7,60463
BEACHHATCH,2026-08-11,32.4,32.9,32.1,32.4,162348
BEACONPHAR,2026-08-11,108,108.6,107.8,108.1,82296
BENGALWTL,2026-08-11,24.6,24.7,24.5,24.7,237897
BERGERPBL,2026-08-11,1477.5,1494,1470,1485,25790
BESTHLDNG,2026-08-11,15.3,15.5,15.2,15.4,131885
BEXGSUKUK,2026-08-11,70.5,71.5,69.5,70,29815
BEXIMCO,2026-08-11,27.5,28.9,26.8,27.2,18373154
BGIC,2026-08-11,45.3,46.4,44,44.5,391064
BIFC,2026-08-11,4.8,4.9,4.5,4.8,355873
BNICL,2026-08-11,113.6,118.9,113.6,118.2,205075
BPML,2026-08-11,28.6,28.8,28.4,28.8,52747
BPPL,2026-08-11,21.5,22.3,21.5,21.8,5019216
BRACBANK,2026-08-11,64.4,65,64.4,64.6,1844904
BSC,2026-08-11,122,123,121,121.5,459968
BSCPLC,2026-08-11,156.4,157.9,155.5,156.8,92096
BSRMLTD,2026-08-11,99.6,101.7,98.6,101.1,237258
BSRMSTEEL,2026-08-11,95.4,97.3,95.4,96,131942
BXPHARMA,2026-08-11,146.5,149.4,145.6,146.3,1381194
CAPITECGBF,2026-08-11,11.1,11.2,10.6,10.7,4476602
CAPMBDBLMF,2026-08-11,11.3,11.5,10.7,10.9,2625662
CAPMIBBLMF,2026-08-11,14,14.1,13.5,13.6,1091261
CBLPBOND,2026-08-11,0,0,0,0,0
CENTRALINS,2026-08-11,49,50.3,47.5,47.7,952023
CENTRALPHL,2026-08-11,11.4,11.5,11.3,11.4,679780
CITYBANK,2026-08-11,31.3,31.7,31.2,31.5,3226942
CITYGENINS,2026-08-11,120.6,124.5,116.2,123.9,283845
CLICL,2026-08-11,53,53.2,52.2,52.3,97323
CNATEX,2026-08-11,3.2,3.4,3.2,3.3,2275646
CONFIDCEM,2026-08-11,67,68.1,66.7,68,191326
CONTININS,2026-08-11,36.9,37.6,36,36.2,1031729
COPPERTECH,2026-08-11,28,28.5,27.8,28.3,661759
CROWNCEMNT,2026-08-11,69,69,65.5,68,5005
CRYSTALINS,2026-08-11,71.5,71.7,70.2,70.4,238810
CVOPRL,2026-08-11,176.3,180.8,175.1,179.5,318481
DACCADYE,2026-08-11,16.7,17.1,16.7,17,109577
DAFODILCOM,2026-08-11,165.4,165.4,160.9,162.5,136415
DBH,2026-08-11,43.5,44.4,42.7,44,926315
DBH1STMF,2026-08-11,5.9,6,5.8,5.8,913153
DBLPBOND,2026-08-11,0,0,0,0,0
DEBARACEM,2026-08-11,0,0,0,0,0
DEBBDLUGG,2026-08-11,0,0,0,0,0
DEBBDWELD,2026-08-11,0,0,0,0,0
